date,min,max,avg
2002-01-01,1.032,1.036,1.0339
2002-01-02,1.034,1.038,1.0355
2002-01-03,1.033,1.039,1.0362
2002-01-04,1.033,1.037,1.0354
2002-01-05,1.033,1.037,1.0352
2002-01-06,1.032,1.037,1.0346
2002-01-07,1.031,1.037,1.034
2002-01-08,1.033,1.038,1.0356
2002-01-09,1.034,1.039,1.0368
2002-01-10,1.033,1.039,1.0359
2002-01-11,1.032,1.039,1.0352
2002-01-12,1.032,1.038,1.0351
2002-01-13,1.032,1.037,1.0347
2002-01-14,1.032,1.038,1.0356
2002-01-15,1.032,1.037,1.0355
2002-01-16,1.03,1.036,1.0341
2002-01-17,1.031,1.036,1.0344
2002-01-18,1.031,1.037,1.0343
2002-01-19,1.032,1.037,1.0347
2002-01-20,1.034,1.038,1.0357
2002-01-21,1.035,1.039,1.0375
2002-01-22,1.036,1.04,1.0378
2002-01-23,1.035,1.04,1.0375
2002-01-24,1.033,1.039,1.036
2002-01-25,1.032,1.038,1.0361
2002-01-26,1.033,1.038,1.036
2002-01-27,1.033,1.038,1.0355
2002-01-28,1.032,1.038,1.0355
2002-01-29,1.032,1.036,1.0343
2002-01-30,1.032,1.037,1.0349
2002-01-31,1.033,1.038,1.0352
2002-02-01,1.034,1.039,1.0367
2002-02-02,1.036,1.04,1.0374
2002-02-03,1.034,1.039,1.0366
2002-02-04,1.032,1.037,1.0349
2002-02-05,1.034,1.037,1.0355
2002-02-06,1.034,1.038,1.0354
2002-02-07,1.031,1.036,1.0336
2002-02-08,1.03,1.036,1.0336
2002-02-09,1.032,1.037,1.0345
2002-02-10,1.033,1.037,1.0355
2002-02-11,1.033,1.037,1.035
2002-02-12,1.033,1.038,1.0361
2002-02-13,1.033,1.037,1.035
2002-02-14,1.033,1.036,1.0347
2002-02-15,1.033,1.037,1.0352
2002-02-16,1.035,1.039,1.0368
2002-02-17,1.036,1.039,1.0373
2002-02-18,1.033,1.038,1.0358
2002-02-19,1.033,1.038,1.0354
2002-02-20,1.033,1.036,1.0348
