date,min,max,avg
2002-01-01,3.8,15.4,10.28
2002-01-02,3.9,16.4,9.516666666666667
2002-01-03,3.9,16.4,9.616666666666664
2002-01-04,4.1,34.0,14.383333333333333
2002-01-05,5.0,34.0,15.05
2002-01-06,4.3,18.1,11.16
2002-01-07,3.6,18.1,12.04
2002-01-08,3.6,17.4,11.8
2002-01-09,3.9,17.4,11.54
2002-01-10,2.6,16.1,10.5
2002-01-11,2.2,16.2,10.44
2002-01-12,2.0,16.2,10.04
2002-01-13,2.0,16.7,10.580000000000002
2002-01-14,3.4,16.7,10.5
2002-01-15,2.6,12.8,8.116666666666667
2002-01-16,1.8,12.0,6.933333333333334
2002-01-17,1.8,11.5,7.340000000000001
2002-01-18,3.0,12.9,8.24
2002-01-19,0.6,12.9,7.516666666666667
2002-01-20,0.6,12.7,7.58
2002-01-21,2.4,11.4,7.959999999999999
2002-01-22,3.9,11.4,8.52
2002-01-23,3.9,17.3,9.7
2002-01-24,3.6,17.3,10.083333333333334
2002-01-25,3.3,16.0,10.74
2002-01-26,3.3,17.1,11.08
2002-01-27,4.0,17.1,11.58
2002-01-28,3.0,15.1,9.566666666666666
2002-01-29,3.0,15.3,8.883333333333333
2002-01-30,3.4,16.6,10.92
2002-01-31,3.4,16.6,11.42
2002-02-01,4.0,16.5,10.32
2002-02-02,4.0,14.4,8.066666666666666
2002-02-03,4.9,14.4,10.239999999999998
2002-02-04,5.0,16.4,10.016666666666667
2002-02-05,5.0,16.4,10.92
2002-02-06,5.0,12.9,10.175
2002-02-07,4.0,16.5,10.08
2002-02-08,4.0,16.5,11.12
2002-02-09,4.9,14.2,11.033333333333331
2002-02-10,1.7,14.2,9.4
2002-02-11,1.7,14.2,8.283333333333333
2002-02-12,4.3,13.5,9.72
2002-02-13,5.0,12.8,10.075
2002-02-14,5.2,12.9,8.7
2002-02-15,4.6,12.9,9.46
2002-02-16,4.6,12.6,9.18
2002-02-17,3.9,13.0,9.32
2002-02-18,3.9,15.4,10.0
2002-02-19,4.7,15.4,10.3
2002-02-20,4.6,14.5,9.14
2002-02-21,4.6,14.8,10.78
2002-02-22,4.9,14.8,10.72
2002-02-23,4.9,13.9,9.4
2002-02-24,3.3,16.8,10.46
2002-02-25,3.3,16.8,11.52
2002-02-26,4.9,16.7,10.64
2002-02-27,3.6,13.7,8.049999999999999
2002-02-28,3.6,13.8,11.1
2002-03-01,3.6,25.2,12.016666666666667
2002-03-02,4.7,25.2,14.84
2002-03-03,5.0,12.7,9.38
2002-03-04,3.9,15.3,9.48
2002-03-05,3.9,15.9,10.82
2002-03-06,4.1,15.9,9.766666666666667
2002-03-07,3.4,14.0,8.625
2002-03-08,3.4,13.0,8.375
2002-03-09,4.2,13.4,9.14
2002-03-10,4.2,14.3,9.033333333333331
2002-03-11,4.5,14.3,10.38
2002-03-12,4.4,15.0,10.5
2002-03-13,3.5,15.0,9.2
2002-03-14,3.5,14.0,8.950000000000001
2002-03-15,3.5,14.0,9.62
2002-03-16,3.5,13.3,8.64
2002-03-17,5.0,11.2,7.94
2002-03-18,4.8,15.4,9.499999999999998
2002-03-19,4.0,15.4,9.3
2002-03-20,3.1,14.0,9.1
2002-03-21,3.1,16.6,10.16
2002-03-22,4.1,16.6,13.025
2002-03-23,4.3,15.8,11.26
2002-03-24,3.8,17.1,11.260000000000002
2002-03-25,3.2,17.6,11.54
2002-03-26,3.2,17.6,10.275
2002-03-27,3.3,17.0,10.025
2002-03-28,3.3,16.2,9.683333333333332
2002-03-29,3.3,16.2,10.26
2002-03-30,3.7,12.4,7.833333333333333
2002-03-31,1.6,15.0,7.416666666666667
2002-04-01,1.6,15.2,8.433333333333332
2002-04-02,2.8,15.2,10.0
2002-04-03,2.0,15.1,9.5
2002-04-04,2.0,15.1,11.375
2002-04-05,1.4,16.4,10.48
2002-04-06,1.4,16.4,10.34
2002-04-07,1.4,16.6,10.38
2002-04-08,1.4,16.6,8.65
2002-04-09,1.5,15.2,10.775
2002-04-10,0.6,15.2,9.7
2002-04-11,0.6,14.2,8.214285714285714
2002-04-12,3.4,14.2,8.483333333333334
2002-04-13,3.4,12.6,9.9
2002-04-14,2.0,12.6,8.1
2002-04-15,0.0,14.3,7.859999999999999
2002-04-16,0.0,14.3,6.966666666666666
2002-04-17,0.7,13.0,6.833333333333333
2002-04-18,1.5,13.5,7.7
2002-04-19,2.3,14.2,9.06
2002-04-20,2.1,14.2,8.64
2002-04-21,2.1,11.5,7.959999999999999
2002-04-22,1.8,12.4,8.08
2002-04-23,1.1,12.4,6.825
2002-04-24,0.9,13.1,7.025
2002-04-25,0.9,13.1,7.0
