date,avg
2002-01-01,12.1644
2002-01-02,12.7367
2002-01-03,12.92
2002-01-04,11.4812
2002-01-05,13.3533
2002-01-06,11.8922
2002-01-07,9.7885
2002-01-08,11.3718
2002-01-09,16.1631
2002-01-10,13.4946
2002-01-11,14.3312
2002-01-12,11.5988
2002-01-13,11.7893
2002-01-14,14.3049
2002-01-15,12.3396
2002-01-16,12.6852
2002-01-17,9.8208
2002-01-18,11.84
2002-01-19,11.4057
2002-01-20,13.6036
2002-01-21,10.5993
2002-01-22,10.6169
2002-01-23,10.7235
2002-01-24,11.2128
2002-01-25,12.5719
2002-01-26,11.1486
2002-01-27,11.3109
2002-01-28,13.826
2002-01-29,10.6452
2002-01-30,11.9346
2002-01-31,10.5817
2002-02-01,12.808
2002-02-02,9.2183
2002-02-03,11.7192
2002-02-04,13.0064
2002-02-05,13.0669
2002-02-06,9.2664
2002-02-07,10.7363
2002-02-08,10.755
2002-02-09,10.9971
2002-02-10,10.9314
2002-02-11,11.7102
2002-02-12,12.8647
2002-02-13,11.1733
2002-02-14,8.3907
2002-02-15,8.9521
2002-02-16,10.0027
2002-02-17,8.8558
2002-02-18,10.7409
2002-02-19,12.6076
2002-02-20,9.458
2002-02-21,10.4014
2002-02-22,9.76
2002-02-23,10.5392
2002-02-24,12.2322
2002-02-25,12.9472
2002-02-26,14.8031
2002-02-27,12.7273
2002-02-28,10.6416
2002-03-01,11.1408
2002-03-02,10.1707
2002-03-03,9.9015
2002-03-04,10.7439
2002-03-05,12.5474
2002-03-06,11.9958
2002-03-07,10.7893
2002-03-08,11.9128
2002-03-09,11.1933
2002-03-10,9.923
2002-03-11,11.6209
2002-03-12,13.501
2002-03-13,10.7498
2002-03-14,10.3415
2002-03-15,10.248
2002-03-16,10.9191
2002-03-17,8.3777
2002-03-18,9.7773
2002-03-19,11.1464
2002-03-20,11.5514
2002-03-21,10.5304
2002-03-22,11.12
2002-03-23,12.23
2002-03-24,10.5096
2002-03-25,11.2813
2002-03-26,11.635
2002-03-27,11.3311
2002-03-28,14.7191
2002-03-29,12.7408
2002-03-30,9.8923
2002-03-31,8.6133
2002-04-01,10.0743
2002-04-02,10.1807
2002-04-03,10.4552
2002-04-04,9.7613
2002-04-05,10.015
2002-04-06,11.9822
2002-04-07,12.4766
2002-04-08,11.1843
2002-04-09,12.1672
2002-04-10,11.106
2002-04-11,12.0684
2002-04-12,11.9823
2002-04-13,11.1
2002-04-14,9.9135
2002-04-15,8.9013
2002-04-16,9.837
2002-04-17,10.7617
2002-04-18,10.8947
2002-04-19,9.5051
2002-04-20,9.3088
2002-04-21,10.7509
2002-04-22,10.4392
2002-04-23,13.7039
2002-04-24,12.6537
2002-04-25,10.8351
2002-04-26,12.0038
2002-04-27,8.6583
2002-04-28,12.2914
2002-04-29,11.5242
2002-04-30,10.9959
2002-05-01,11.5652
2002-05-02,11.0849
2002-05-03,11.62
2002-05-04,15.1954
2002-05-05,12.5675
2002-05-06,10.5766
2002-05-07,10.9024
2002-05-08,12.0892
2002-05-09,10.6362
2002-05-10,10.7223
2002-05-11,10.964
2002-05-12,10.1563
2002-05-13,11.79
2002-05-14,14.2074
2002-05-15,12.4477
2002-05-16,13.009
2002-05-17,15.4024
2002-05-18,16.9706
2002-05-19,16.0172
2002-05-20,15.5239
2002-05-21,12.7442
2002-05-22,11.7996
2002-05-23,12.0675
2002-05-24,14.8
2002-05-25,11.7413
2002-05-26,14.9576
2002-05-27,14.0629
2002-05-28,13.5613
2002-05-29,15.8783
2002-05-30,14.7009
2002-05-31,11.017
2002-06-01,13.932
2002-06-02,14.2875
2002-06-03,12.2513
2002-06-04,14.2195
2002-06-05,12.6858
2002-06-06,12.2096
2002-06-07,11.3581
2002-06-08,9.8306
2002-06-09,11.2343
2002-06-10,11.7996
2002-06-11,12.2064
2002-06-12,12.7929
2002-06-13,14.5546
2002-06-14,10.9226
2002-06-15,9.2867
2002-06-16,11.9106
2002-06-17,15.1076
2002-06-18,10.3115
2002-06-19,9.315
2002-06-20,10.4487
2002-06-21,15.3615
2002-06-22,10.7921
2002-06-23,10.41
2002-06-24,9.693
2002-06-25,11.8871
2002-06-26,14.4117
2002-06-27,14.0576
2002-06-28,9.569
2002-06-29,12.3533
2002-06-30,18.8332
2002-07-01,14.1604
2002-07-02,11.2643
2002-07-03,16.8345
2002-07-04,18.8762
2002-07-05,18.7824
2002-07-06,17.8955
2002-07-07,17.69
2002-07-08,15.6852
2002-07-09,14.321
2002-07-10,7.2102
2002-07-11,7.8058
2002-07-12,15.9733
2002-07-13,10.797
2002-07-14,12.3278
2002-07-15,12.4169
2002-07-16,11.7247
2002-07-17,11.1888
2002-07-18,10.6491
2002-07-19,14.7788
2002-07-20,15.974
2002-07-21,19.9772
2002-07-22,12.6857
2002-07-23,13.6936
2002-07-24,12.9592
2002-07-25,12.5864
2002-07-26,12.2859
2002-07-27,13.7736
2002-07-28,8.2569
2002-07-29,8.3043
2002-07-30,13.1226
2002-07-31,13.977
2002-08-01,12.2712
2002-08-02,9.0885
2002-08-03,11.6738
2002-08-04,13.5843
2002-08-05,13.2419
2002-08-06,13.6208
2002-08-07,14.2537
2002-08-08,13.2129
2002-08-09,13.0571
2002-08-10,11.7843
2002-08-11,12.2333
2002-08-12,12.9196
2002-08-13,12.9753
2002-08-14,14.3117
2002-08-15,11.4413
2002-08-16,12.3647
2002-08-17,12.2458
2002-08-18,15.796
2002-08-19,16.8016
2002-08-20,15.7574
2002-08-21,14.9504
2002-08-22,12.4143
2002-08-23,11.4125
2002-08-24,12.2844
2002-08-25,12.0804
2002-08-26,11.1181
2002-08-27,11.7418
2002-08-28,15.2308
2002-08-29,15.3209
2002-08-30,18.1164
2002-08-31,13.5596
2002-09-01,12.4587
2002-09-02,11.0156
2002-09-03,13.0919
2002-09-04,13.5057
2002-09-05,13.4165
