date,min,max,avg
2002-01-01,7.56,25.9,14.2508
2002-01-02,5.4,33.5,14.3722
2002-01-03,7.56,25.9,15.6042
2002-01-04,5.4,24.1,11.7208
2002-01-05,5.4,33.5,14.8618
2002-01-06,5.4,24.1,12.647
2002-01-07,5.4,20.5,11.3731
2002-01-08,7.56,18.4,11.9383
2002-01-09,9.36,38.9,18.5712
2002-01-10,7.56,33.5,17.1409
2002-01-11,3.6,29.5,15.6461
2002-01-12,5.4,25.9,11.8291
2002-01-13,5.4,33.5,12.086
2002-01-14,7.56,37.1,16.27
2002-01-15,9.36,37.1,14.5852
2002-01-16,5.4,18.4,11.308
2002-01-17,3.6,25.9,12.0592
2002-01-18,3.6,22.3,13.6922
2002-01-19,5.4,31.3,14.3075
2002-01-20,5.4,24.1,13.8663
2002-01-21,3.6,16.6,10.9104
2002-01-22,1.8,20.5,11.5408
2002-01-23,5.4,18.0,11.0673
2002-01-24,5.4,29.6,11.4947
2002-01-25,5.4,20.5,12.3587
2002-01-26,3.6,16.6,9.6133
2002-01-27,3.6,20.5,11.6158
2002-01-28,7.56,37.1,14.9992
2002-01-29,5.4,29.5,9.867
2002-01-30,5.4,25.9,14.4695
2002-01-31,5.4,20.5,10.1609
2002-02-01,3.6,25.9,15.2875
2002-02-02,7.56,24.1,13.009
2002-02-03,5.4,22.3,13.5392
2002-02-04,9.36,24.1,14.7608
2002-02-05,3.6,25.9,15.3078
2002-02-06,5.4,22.3,11.4965
2002-02-07,5.4,24.1,12.4179
2002-02-08,5.4,22.3,11.7983
2002-02-09,5.4,16.6,10.69
2002-02-10,5.4,25.9,11.354
2002-02-11,5.4,18.4,9.608
2002-02-12,5.4,27.7,14.1
2002-02-13,7.56,16.6,12.2509
2002-02-14,3.6,16.6,9.1067
2002-02-15,5.4,16.6,10.0174
2002-02-16,3.6,25.9,11.3609
2002-02-17,5.4,18.4,11.0673
2002-02-18,5.4,18.4,11.0126
2002-02-19,3.6,24.1,14.4825
2002-02-20,5.4,18.4,10.4733
2002-02-21,5.4,22.3,11.7084
2002-02-22,5.4,18.0,10.458
2002-02-23,7.56,31.3,14.2627
2002-02-24,5.4,31.3,16.2643
2002-02-25,5.4,33.5,15.4691
2002-02-26,5.4,25.9,15.5971
2002-02-27,5.4,29.5,14.21
2002-02-28,5.4,31.3,12.5922
2002-03-01,5.4,18.5,11.5642
2002-03-02,5.4,16.6,9.44
2002-03-03,5.4,18.4,10.7825
2002-03-04,5.4,33.5,12.8683
2002-03-05,7.56,25.9,14.7035
2002-03-06,5.4,92.5,14.8681
2002-03-07,5.4,14.8,9.086
2002-03-08,5.4,24.1,12.2636
2002-03-09,7.56,18.4,13.073
2002-03-10,7.56,25.9,11.8033
2002-03-11,5.4,22.3,12.6504
2002-03-12,9.36,25.9,16.9072
2002-03-13,5.4,18.5,11.1576
2002-03-14,5.4,18.4,9.859
